name,genre,rating,country,company,isMajor,released,year,runtime,isLong,isShort,score,votes,star,director,budget,gross,budgetReturn
The Romantics,Comedy,PG-13,USA,10th Hole Productions,0,5/26/10,2010,100,0,0,5.1,10547,Katie Holmes,Galt Niederhoffer,4500000,103280,0.022951111
Twelve,Action,R,USA,Gaumont,0,8/6/10,2010,100,0,0,5.7,11139,Chace Crawford,Joel Schumacher,0,181591,inf
The Last Circus,Comedy,R,Spain,Tornasol Films,0,12/17/10,2010,107,0,0,6.6,11108,Carlos Areces,Álex de la Iglesia,0,40029,inf
Everything Must Go,Comedy,R,USA,Temple Hill Entertainment,0,10/14/11,2010,97,0,0,6.4,43290,Will Ferrell,Dan Rush,5000000,2711210,0.542242
The Warrior's Way,Action,R,New Zealand,Rogue,0,12/3/10,2010,100,0,0,6.3,23178,Dong-gun Jang,Sngmoo Lee,45000000,5664251,0.125872244
My Soul to Take,Horror,R,USA,Rogue,0,10/8/10,2010,100,0,0,4.8,17312,Max Thieriot,Wes Craven,25000000,14637490,0.5854996
Extraordinary Measures,Drama,PG,USA,CBS Films,0,1/22/10,2010,106,0,0,6.5,14980,Brendan Fraser,Tom Vaughan,31000000,11854694,0.382409484
For Colored Girls,Drama,R,USA,Lionsgate,0,11/5/10,2010,100,0,0,6,6359,Janet Jackson,Tyler Perry,0,37721949,inf
Hatchet II,Comedy,R,USA,ArieScope Pictures,0,2010-11,2010,85,0,0,5.5,10103,Danielle Harris,Adam Green,800000,62000,0.0775
Marmaduke,Comedy,PG,USA,Twentieth Century Fox Film Corporation,1,6/4/10,2010,100,0,0,4.2,12104,Owen Wilson,Tom Dey,50000000,33644788,0.67289576
Heartbreaker,Comedy,NOT RATED,France,Quad Productions,0,10/21/11,2010,105,0,0,6.8,22456,Romain Duris,Pascal Chaumeil,0,504030,inf
Happythankyoumoreplease,Comedy,R,USA,Paper Street Films,0,3/3/11,2010,100,0,0,6.8,27342,Josh Radnor,Josh Radnor,0,215576,inf
